ensembl_id	gene_name	chr	start	end	score	strand	frame	gene_type	transcript_id.s.	GC1|expected_count	GC2|expected_count	GC3|expected_count	MG1|expected_count	MG2|expected_count	MG3|expected_count	GC1|TPM	GC2|TPM	GC3|TPM	MG1|TPM	MG2|TPM	MG3|TPM	GC1|FPKM	GC2|FPKM	GC3|FPKM	MG1|FPKM	MG2|FPKM	MG3|FPKM
ENSMUSG00000005299.6	Letm1	chr5	33739673	33782817	.	-	.	protein_coding	ENSMUST00000005431.5,ENSMUST00000148451.1	395	309	512	451	695	650	5.99	4.71	6.64	9.91	13.21	12.46	12.37	9.39	15.08	13.92	19.59	16.5
ENSMUSG00000005312.15	Ubqln1	chr13	58176156	58215653	.	-	.	protein_coding	ENSMUST00000058735.11,ENSMUST00000076454.7	436	521	454	575	721	674	9.49	11.09	8.51	17.89	19.76	18.74	19.6	22.09	19.32	25.14	29.28	24.81
ENSMUSG00000005320.9	Fgfr4	chr13	55152640	55168759	.	+	.	protein_coding	ENSMUST00000005452.5	6	2	5	23	32	49	0.14	0.05	0.1	0.79	0.97	1.49	0.3	0.09	0.24	1.11	1.43	1.97
ENSMUSG00000005338.13	Cadm3	chr1	173333258	173367695	.	-	.	protein_coding	ENSMUST00000005470.4,ENSMUST00000111220.7	347	989.27	135	151	121	70	7.63	25.2	3.01	5.04	3.83	2.2	15.77	50.22	6.83	7.09	5.68	2.92
ENSMUSG00000005339.10	Fcer1a	chr1	173221284	173227214	.	-	.	protein_coding	ENSMUST00000049706.10,ENSMUST00000193017.1	0	1	0	0	0	0	0	0.09	0	0	0	0	0	0.19	0	0	0	0
ENSMUSG00000005354.16	Txn2	chr15	77915047	77929006	.	-	.	protein_coding	ENSMUST00000005487.11,ENSMUST00000100486.5,ENSMUST00000109747.8,ENSMUST00000109748.8	408	218	421	681	923	901	27.69	14.06	25.07	66.32	78.29	76.9	57.24	28.03	56.94	93.17	116.05	101.82
ENSMUSG00000005355.9	Casp14	chr10	78711991	78718294	.	-	.	protein_coding	ENSMUST00000005488.8,ENSMUST00000219237.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000005357.9	Slc1a6	chr10	78780496	78814765	.	+	.	protein_coding	ENSMUST00000005490.9	0	0	3	3	0	0	0	0	0.11	0.18	0	0	0	0	0.24	0.25	0	0
ENSMUSG00000005360.14	Slc1a3	chr15	8634124	8710764	.	-	.	protein_coding	ENSMUST00000005493.13,ENSMUST00000157065.1	386	991	147	99	107	205	8.1	18.31	5.46	2.68	2.55	4.9	16.73	36.48	12.39	3.77	3.78	6.49
ENSMUSG00000005362.14	Crbn	chr6	106780201	106800077	.	-	.	protein_coding	ENSMUST00000013882.9,ENSMUST00000113239.9	173	127	131	92	87	121	6.95	5	4.56	5.24	4.35	6.09	14.37	9.96	10.35	7.36	6.45	8.06
ENSMUSG00000005364.11	Il5ra	chr6	106710357	106749037	.	-	.	protein_coding	ENSMUST00000167925.2,ENSMUST00000204659.2,ENSMUST00000205004.1	1	0	0	0	0	0	0.05	0	0	0	0	0	0.1	0	0	0	0	0
ENSMUSG00000005370.4	Msh6	chr17	87975062	87990892	.	+	.	protein_coding	ENSMUST00000005503.4	123	168	70	91	80	72	2.28	3.04	1.12	2.41	1.86	1.68	4.7	6.05	2.54	3.39	2.76	2.23
ENSMUSG00000005371.15	Fbxo11	chr17	87990859	88065291	.	-	.	protein_coding	ENSMUST00000005504.14,ENSMUST00000130379.8,ENSMUST00000235112.1	259	356	212	232	244	262	5.18	6.83	3.59	6.67	6.37	6.5	10.71	13.6	8.16	9.37	9.44	8.61
ENSMUSG00000005373.13	Mlxipl	chr5	135089890	135138382	.	+	.	protein_coding	ENSMUST00000005507.9	266	271	315	276	211	283	5.83	5.8	5.96	8.66	5.82	7.84	12.05	11.56	13.55	12.16	8.62	10.38
ENSMUSG00000005374.13	Tbl2	chr5	135149657	135165760	.	+	.	protein_coding	ENSMUST00000153183.7	126	277	158	128	157	176	1.29	2.78	1.4	1.88	2.03	2.29	2.67	5.53	3.18	2.65	3.02	3.03
ENSMUSG00000005378.17	Bud23	chr5	135052957	135064959	.	-	.	protein_coding	ENSMUST00000071677.9,ENSMUST00000085984.10,ENSMUST00000111205.7	36	49	83	94	111	79	2.09	2.74	4.49	8.13	8.01	6.7	4.32	5.47	10.19	11.42	11.87	8.87
ENSMUSG00000005397.8	Nid1	chr13	13437551	13512269	.	+	.	protein_coding	ENSMUST00000005532.8	2425.15	4806.38	2031.47	1460	1672.59	1641.71	30.81	59.62	22.29	26.6	26.81	26.42	63.69	118.82	50.63	37.37	39.73	34.98
ENSMUSG00000005410.6	Mcm5	chr8	75109569	75128439	.	+	.	protein_coding	ENSMUST00000164309.2,ENSMUST00000212426.1,ENSMUST00000212811.1	20	37	18	52	90	63	0.63	1.07	0.37	2.23	3.45	2.41	1.29	2.13	0.83	3.14	5.12	3.18
ENSMUSG00000005413.8	Hmox1	chr8	75093621	75100589	.	+	.	protein_coding	ENSMUST00000005548.7	96	105	69	198	168	164	5.3	5.67	3.29	15.53	11.56	11.36	10.96	11.3	7.48	21.81	17.13	15.03
ENSMUSG00000005417.17	Mprip	chr11	59661305	59780860	.	+	.	protein_coding	ENSMUST00000066330.14,ENSMUST00000072031.12,ENSMUST00000108751.7,ENSMUST00000116371.7	2087.42	2380.63	1551.61	1378.68	1723.86	1825.78	30.62	37.14	19.96	30.25	34.5	37.19	63.29	74.01	45.35	42.5	51.14	49.24
ENSMUSG00000005442.13	Cic	chr7	25267704	25294159	.	+	.	protein_coding	ENSMUST00000005578.12,ENSMUST00000163320.7,ENSMUST00000169266.7	799	1244	875	571	722	774	7.81	12.04	7.48	8.56	9.57	9.8	16.14	24	16.98	12.03	14.19	12.98
ENSMUSG00000005447.12	Pafah1b3	chr7	25295049	25297986	.	-	.	protein_coding	ENSMUST00000005583.11,ENSMUST00000108410.7,ENSMUST00000155118.1	0	11	0	9	8	29	0	1.18	0	1.53	1.53	4.51	0	2.35	0	2.15	2.27	5.97
ENSMUSG00000005465.9	Il27ra	chr8	84030294	84042589	.	-	.	protein_coding	ENSMUST00000005601.8	3	3	1	4	3	3	0.09	0.09	0.03	0.17	0.11	0.12	0.19	0.18	0.06	0.24	0.17	0.15
ENSMUSG00000005469.10	Prkaca	chr8	83972993	83996443	.	+	.	protein_coding	ENSMUST00000005606.7,ENSMUST00000211558.1	604	413	699	484	792	783	21.9	14.63	21.9	25.02	35.97	35.75	45.26	29.16	49.74	35.16	53.32	47.34
ENSMUSG00000005470.8	Asf1b	chr8	83955507	83970197	.	+	.	protein_coding	ENSMUST00000005607.8	6	0	4	11	10	12	0.29	0	0.16	0.74	0.59	0.72	0.59	0	0.37	1.04	0.88	0.95
ENSMUSG00000005474.9	Myl10	chr5	136693146	136701094	.	+	.	protein_coding	ENSMUST00000005611.9,ENSMUST00000196068.4,ENSMUST00000196436.4,ENSMUST00000197186.1	0	0	0	8	9	23	0	0	0	2.06	1.73	5.48	0	0	0	2.89	2.56	7.25
ENSMUSG00000005481.18	Ddx39	chr8	83715177	83726892	.	+	.	protein_coding	ENSMUST00000019576.14,ENSMUST00000109810.1,ENSMUST00000172396.7	49	30	56	129	167	168	2.44	1.37	2.16	9.08	10.62	10.16	5.04	2.73	4.92	12.75	15.74	13.46
ENSMUSG00000005483.10	Dnajb1	chr8	83608193	83612653	.	+	.	protein_coding	ENSMUST00000005620.9,ENSMUST00000212300.1	111	205	94	132	141	109	2.98	5.38	2.18	5.07	4.77	3.7	6.16	10.72	4.95	7.12	7.07	4.89
ENSMUSG00000005493.15	Msh4	chr3	153857149	153906138	.	-	.	protein_coding	ENSMUST00000005630.10,ENSMUST00000188338.6,ENSMUST00000190449.1	0	0	6	2	1	0	0	0	0.12	0.07	0.03	0	0	0	0.28	0.1	0.04	0
ENSMUSG00000005501.14	Usp40	chr1	87945119	88008551	.	-	.	protein_coding	ENSMUST00000040783.10,ENSMUST00000187758.6	129	154	105	133	159	183	2.38	2.55	1.61	3.22	3.4	4.26	4.92	5.08	3.66	4.53	5.04	5.64
ENSMUSG00000005503.8	Evx1	chr6	52313498	52318378	.	+	.	protein_coding	ENSMUST00000031787.7,ENSMUST00000129243.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000005505.12	Kbtbd4	chr2	90904740	90911626	.	+	.	protein_coding	ENSMUST00000090682.3,ENSMUST00000111464.7	53	37	48	47	69	90	1.8	1.22	1.39	2.29	2.92	3.81	3.71	2.42	3.17	3.22	4.33	5.05
ENSMUSG00000005506.16	Celf1	chr2	90940382	91019497	.	+	.	protein_coding	ENSMUST00000005643.13,ENSMUST00000068726.12,ENSMUST00000068747.13,ENSMUST00000111448.1,ENSMUST00000111449.7,ENSMUST00000111451.9,ENSMUST00000111452.7,ENSMUST00000111455.8,ENSMUST00000177642.7	627	598	699	744	934	1006	8.56	7.26	9.78	16.46	18.59	19.75	17.69	14.48	22.21	23.13	27.55	26.15
ENSMUSG00000005510.9	Ndufs3	chr2	90894634	90904827	.	-	.	protein_coding	ENSMUST00000005647.3	420.74	100	462.5	440.35	663.95	726.66	37.9	8.83	36.06	55.88	73.76	81.41	78.34	17.59	81.9	78.52	109.33	107.79
ENSMUSG00000005514.14	Por	chr5	135670033	135735326	.	+	.	protein_coding	ENSMUST00000005651.12,ENSMUST00000122113.7	507	999	242	274	292	432	15.66	30.12	6.45	12.07	11.31	16.81	32.36	60.03	14.65	16.96	16.76	22.26
ENSMUSG00000005533.10	Igf1r	chr7	67952827	68233668	.	+	.	protein_coding	ENSMUST00000005671.9	520	782	372	619	684	649	3.47	5.09	2.14	5.93	5.76	5.49	7.17	10.14	4.86	8.33	8.54	7.27
ENSMUSG00000005534.10	Insr	chr8	3122061	3279617	.	-	.	protein_coding	ENSMUST00000091291.4	1040	757	843	767	1022	897	8.49	6.03	5.94	8.99	10.54	9.29	17.56	12.03	13.5	12.63	15.63	12.3
ENSMUSG00000005540.10	Fcer2a	chr8	3681737	3694175	.	-	.	protein_coding	ENSMUST00000005678.5,ENSMUST00000208145.1,ENSMUST00000208438.1,ENSMUST00000208492.1,ENSMUST00000208603.1	0	0	2	0	0	0	0	0	0.18	0	0	0	0	0	0.41	0	0	0
ENSMUSG00000005547.14	Cyp2a5	chr7	26835305	26843548	.	+	.	protein_coding	ENSMUST00000005685.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000005553.14	Atp4a	chr7	30712209	30725534	.	+	.	protein_coding	ENSMUST00000005692.13,ENSMUST00000170371.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000005566.14	Trim28	chr7	12999114	13031035	.	+	.	protein_coding	ENSMUST00000005705.7	389	472	450	445	588	462	9.59	11.37	9.58	15.69	18.22	14.38	19.82	22.65	21.76	22.04	27.01	19.04
ENSMUSG00000005575.16	Ube2m	chr7	13035120	13038275	.	-	.	protein_coding	ENSMUST00000005714.13,ENSMUST00000165394.8	161	200	223	285	408	381	10.91	12.86	13.51	26.33	35.59	31.7	22.55	25.62	30.68	37	52.76	41.98
ENSMUSG00000005580.11	Adcy9	chr16	4287529	4420498	.	-	.	protein_coding	ENSMUST00000005719.3,ENSMUST00000117801.7,ENSMUST00000120080.7	358	240	343	291	296	359	5.83	3.77	4.83	6.97	6.16	7.59	12.05	7.52	10.97	9.79	9.12	10.05
ENSMUSG00000005583.16	Mef2c	chr13	83504034	83667080	.	+	.	protein_coding	ENSMUST00000005722.13,ENSMUST00000163888.7,ENSMUST00000185052.5,ENSMUST00000197146.4,ENSMUST00000197681.4,ENSMUST00000197722.4,ENSMUST00000198199.4,ENSMUST00000198217.4,ENSMUST00000199019.4,ENSMUST00000199105.4,ENSMUST00000199210.4,ENSMUST00000199432.4,ENSMUST00000199450.4	2209	260	2893	1821	2469	3231	41.52	5.27	50.85	49.31	60.93	88.43	85.81	10.49	115.51	69.28	90.31	117.08
ENSMUSG00000005609.16	Ctr9	chr7	111028951	111056377	.	+	.	protein_coding	ENSMUST00000005749.5	159	177	153	150	172	174	2.91	3.16	2.42	3.93	3.96	4.02	6.01	6.3	5.49	5.52	5.87	5.33
ENSMUSG00000005610.17	Eif4g2	chr7	111067750	111083030	.	-	.	protein_coding	ENSMUST00000161051.7,ENSMUST00000162415.8	3533	2642	3473	4323	4892	6243	67.08	51.57	56.09	115.6	116.61	146.92	138.64	102.76	127.39	162.41	172.84	194.52
ENSMUSG00000005611.15	Mrvi1	chr7	110868266	110982461	.	-	.	protein_coding	ENSMUST00000005751.12,ENSMUST00000125758.7	176	139	139	39	122	111	2.26	1.77	1.52	0.73	1.95	1.79	4.67	3.52	3.45	1.02	2.89	2.37
ENSMUSG00000005615.15	Pcyt1a	chr16	32430921	32475070	.	+	.	protein_coding	ENSMUST00000079791.10,ENSMUST00000104893.9,ENSMUST00000115137.7,ENSMUST00000115140.1	469	482	493	592	736	800	10.92	8.93	8.92	17.42	20.99	19.97	22.56	17.79	20.26	24.47	31.11	26.44
ENSMUSG00000005621.11	Zfp592	chr7	80993681	81045164	.	+	.	protein_coding	ENSMUST00000107353.2	395	519	409	368	468	449	4.16	5.34	3.72	5.56	6.23	6	8.61	10.64	8.46	7.82	9.23	7.94
ENSMUSG00000005625.15	Psmd4	chr3	95032694	95042614	.	-	.	protein_coding	ENSMUST00000071664.11,ENSMUST00000107237.7,ENSMUST00000117355.1	462	408	576	809	1014	950	31.64	27.7	33.72	77.47	85.88	80.78	65.39	55.2	76.59	108.84	127.3	106.96
ENSMUSG00000005628.12	Tmod4	chr3	95124476	95129209	.	+	.	protein_coding	ENSMUST00000005769.12,ENSMUST00000107227.3	736	3	894	725	889	1028	53.51	0.21	56.12	74.57	80.27	93.37	110.59	0.43	127.46	104.76	118.98	123.63
ENSMUSG00000005640.11	Insrr	chr3	87796951	87816101	.	+	.	protein_coding	ENSMUST00000029711.8,ENSMUST00000107582.2	0	0	0	0	0	1	0	0	0	0	0	0.02	0	0	0	0	0	0.03
ENSMUSG00000005649.17	Cabp5	chr7	13398132	13408887	.	+	.	protein_coding	ENSMUST00000005791.13,ENSMUST00000117400.1	0	0	2	0	0	0	0	0	0.08	0	0	0	0	0	0.19	0	0	0
ENSMUSG00000005656.9	Snx6	chr12	54746349	54795703	.	-	.	protein_coding	ENSMUST00000005798.8,ENSMUST00000218934.1	109	195	115	95	133	99	4.76	8.54	4.34	5.9	7.25	5.54	9.83	17.02	9.85	8.29	10.75	7.34
ENSMUSG00000005667.8	Mthfd2	chr6	83305691	83325908	.	-	.	protein_coding	ENSMUST00000005810.8	23	71	100	88	134	79	0.92	2.77	3.45	5.01	6.7	3.97	1.9	5.53	7.84	7.04	9.93	5.26
ENSMUSG00000005672.12	Kit	chr5	75574916	75656722	.	+	.	protein_coding	ENSMUST00000005815.6,ENSMUST00000144270.7	42	62	34	29	31	29	0.62	0.9	0.44	0.62	0.58	0.55	1.29	1.8	1	0.87	0.87	0.72
ENSMUSG00000005674.9	Tomm40l	chr1	171216011	171222514	.	-	.	protein_coding	ENSMUST00000005817.8,ENSMUST00000111326.7,ENSMUST00000111327.7	149	77	94	168	243	255	4.19	2.07	2.35	6.49	8.43	8.75	8.65	4.13	5.33	9.12	12.5	11.58
ENSMUSG00000005677.14	Nr1i3	chr1	171213970	171220701	.	+	.	protein_coding	ENSMUST00000005820.10,ENSMUST00000075469.11,ENSMUST00000111328.7,ENSMUST00000155126.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000005681.12	Apoa2	chr1	171225054	171226379	.	+	.	protein_coding	ENSMUST00000005824.11,ENSMUST00000111319.1,ENSMUST00000111320.7,ENSMUST00000111321.7	0	0	0	6	0	0	0	0	0	2.5	0	0	0	0	0	3.51	0	0
ENSMUSG00000005682.9	Pan2	chr10	128303335	128321358	.	+	.	protein_coding	ENSMUST00000005825.7,ENSMUST00000218315.1,ENSMUST00000219721.1	138	112	105	63	80	99	2.45	1.96	1.65	1.62	1.8	2.25	5.06	3.91	3.74	2.28	2.67	2.97
ENSMUSG00000005683.8	Cs	chr10	128337734	128362479	.	+	.	protein_coding	ENSMUST00000005826.8	1855	721	2312	2121	3010	3130	51.11	19.41	55.03	83.51	104.16	108.84	105.64	38.68	125	117.33	154.39	144.11
ENSMUSG00000005686.17	Ampd3	chr7	110768206	110812405	.	+	.	protein_coding	ENSMUST00000005829.12,ENSMUST00000170374.7,ENSMUST00000213373.1	288	183	236	756	638	619	6	4.06	4.39	22.56	16.55	16.44	12.41	8.09	9.97	31.7	24.53	21.76
ENSMUSG00000005687.14	Bcas2	chr3	103171655	103179166	.	+	.	protein_coding	ENSMUST00000005830.14	103	35	74	83	133	102	6.15	2.05	3.82	7.03	9.88	7.63	12.72	4.08	8.68	9.88	14.65	10.1
ENSMUSG00000005696.11	Sh2d1a	chrX	42502453	42529330	.	+	.	protein_coding	ENSMUST00000005839.10,ENSMUST00000115070.7,ENSMUST00000189753.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000005698.15	Ctcf	chr8	105636568	105682922	.	+	.	protein_coding	ENSMUST00000005841.15	265	381	239	220	247	281	5.55	7.79	4.32	6.59	6.51	7.44	11.47	15.53	9.82	9.26	9.65	9.85
ENSMUSG00000005699.16	Pard6a	chr8	105701148	105703496	.	+	.	protein_coding	ENSMUST00000093195.6,ENSMUST00000098444.8,ENSMUST00000211888.1,ENSMUST00000212352.1,ENSMUST00000212430.1	19	23	4	9	25	11	1.4	1.6	0.27	0.93	2.24	1.01	2.88	3.2	0.61	1.31	3.32	1.34
ENSMUSG00000005705.10	Agrp	chr8	105566698	105637393	.	-	.	protein_coding	ENSMUST00000005849.10,ENSMUST00000194091.5	0	0	2	13	8	6	0	0	0.29	3.03	1.62	1.23	0	0	0.66	4.26	2.41	1.63
ENSMUSG00000005716.16	Pvalb	chr15	78191114	78206400	.	-	.	protein_coding	ENSMUST00000005860.15,ENSMUST00000120592.1	2575	24	2109	4249	2869	4624	261.26	2.39	185.27	605.73	357.77	581.85	539.98	4.76	420.82	851.03	530.31	770.37
ENSMUSG00000005718.8	Tfap4	chr16	4544661	4559854	.	-	.	protein_coding	ENSMUST00000005862.8	41	64	8	14	21	40	1.51	2.3	0.25	0.73	0.97	1.85	3.12	4.58	0.58	1.03	1.43	2.45
ENSMUSG00000005732.14	Ranbp1	chr16	18239784	18248732	.	-	.	protein_coding	ENSMUST00000052325.6,ENSMUST00000115645.9	73	129	96	169	227	175	6.28	10.87	7.15	20.5	24.11	18.74	12.98	21.67	16.23	28.8	35.74	24.82
ENSMUSG00000005763.15	Cd247	chr1	165788681	165877277	.	+	.	protein_coding	ENSMUST00000005907.11,ENSMUST00000027849.10,ENSMUST00000161559.2,ENSMUST00000161971.7,ENSMUST00000178336.7,ENSMUST00000187313.6	4	22	11	3	1	1	0.21	1.14	0.5	0.22	0.08	0.07	0.44	2.26	1.14	0.32	0.12	0.09
ENSMUSG00000005774.12	Rfx5	chr3	94954075	94961561	.	+	.	protein_coding	ENSMUST00000029772.2,ENSMUST00000107253.7,ENSMUST00000107254.7,ENSMUST00000107255.7,ENSMUST00000107260.8,ENSMUST00000137088.7	64	95	33	27	45	37	1.49	2.44	0.91	0.87	1.03	0.94	3.08	4.85	2.06	1.22	1.52	1.25
ENSMUSG00000005779.12	Psmb4	chr3	94884093	94886961	.	-	.	protein_coding	ENSMUST00000005923.6	434	354	585	778	1001	877	33.55	26.8	39.12	84.97	95.78	84.56	69.34	53.4	88.86	119.38	141.97	111.96
ENSMUSG00000005800.3	Mmp8	chr9	7558456	7568485	.	+	.	protein_coding	ENSMUST00000018765.3	0	0	2	0	0	0	0	0	0.06	0	0	0	0	0	0.13	0	0	0
ENSMUSG00000005802.12	Slc30a4	chr2	122681233	122702663	.	-	.	protein_coding	ENSMUST00000005952.10,ENSMUST00000099457.3	160	243	121	268	273	355	2.54	4.26	1.6	6.31	5.46	6.97	5.25	8.48	3.63	8.87	8.1	9.23
ENSMUSG00000005803.14	Sqor	chr2	122765237	122809569	.	+	.	protein_coding	ENSMUST00000005953.10,ENSMUST00000110506.8	102	130	99	48	62	50	4.8	5.98	4.03	3.21	3.64	2.95	9.92	11.92	9.14	4.51	5.4	3.91
ENSMUSG00000005804.14	Bloc1s6	chr2	122738503	122749475	.	+	.	protein_coding	ENSMUST00000005954.8	67	100	106	88	112	139	1.53	2.23	2.09	2.88	3.22	4.01	3.16	4.45	4.75	4.04	4.77	5.31
ENSMUSG00000005813.12	Metap1	chr3	138458956	138489515	.	-	.	protein_coding	ENSMUST00000029804.12,ENSMUST00000197531.1	212	76	115	320	356	430	6.18	2.11	2.95	13.41	13.29	16.06	12.78	4.2	6.7	18.84	19.7	21.27
ENSMUSG00000005823.9	Gpr108	chr17	57234635	57248446	.	-	.	protein_coding	ENSMUST00000005975.7,ENSMUST00000233568.1	163	421	183	135	196	178	6.32	16.19	6.15	7.46	9.78	8.96	13.06	32.26	13.97	10.48	14.49	11.86
ENSMUSG00000005824.7	Tnfsf14	chr17	57189492	57194177	.	-	.	protein_coding	ENSMUST00000005976.7	0	2	0	6	2	2	0	0.09	0	0.39	0.11	0.12	0	0.18	0	0.55	0.17	0.15
ENSMUSG00000005836.10	Gata6	chr18	11052064	11085635	.	+	.	protein_coding	ENSMUST00000047762.9	48	25	17	6	17	10	1.19	0.6	0.36	0.21	0.53	0.31	2.45	1.2	0.83	0.3	0.78	0.41
ENSMUSG00000005846.12	Rsl1d1	chr16	11192970	11203331	.	-	.	protein_coding	ENSMUST00000119953.1	191	165	160	434	447	495	8.25	6.97	5.97	26.7	24.14	26.89	17.05	13.89	13.57	37.51	35.78	35.6
ENSMUSG00000005864.7	Cnga2	chrX	71991849	72010218	.	+	.	protein_coding	ENSMUST00000006020.7	1	6	0	0	0	0	0.03	0.15	0	0	0	0	0.05	0.31	0	0	0	0
ENSMUSG00000005871.14	Apc	chr18	34220924	34322189	.	+	.	protein_coding	ENSMUST00000066133.6,ENSMUST00000079362.11,ENSMUST00000115781.9	682	802	695	560	466.93	773.77	5.94	6.64	5	6.84	4.79	7.75	12.28	13.24	11.36	9.61	7.1	10.26
ENSMUSG00000005873.5	Reep5	chr18	34344889	34373415	.	-	.	protein_coding	ENSMUST00000006027.5	690	1160	705	442	649	537	19.24	31.6	16.98	17.61	22.72	18.9	39.77	62.98	38.57	24.74	33.68	25.02
ENSMUSG00000005881.13	Ergic3	chr2	156008045	156018279	.	+	.	protein_coding	ENSMUST00000006035.12,ENSMUST00000088650.10	184	506	267	133	181	132	11.84	31.99	14.86	12.13	14.48	10.64	24.48	63.75	33.76	17.04	21.46	14.09
ENSMUSG00000005882.18	Uqcc1	chr2	155846894	155930310	.	-	.	protein_coding	ENSMUST00000006036.12,ENSMUST00000109631.7,ENSMUST00000109632.7,ENSMUST00000109636.10	215	60	226	387	490	442	9.13	2.6	7.47	23.85	28.75	18.21	18.86	5.19	16.97	33.51	42.61	24.11
ENSMUSG00000005883.15	Spo11	chr2	172977700	172993576	.	+	.	protein_coding	ENSMUST00000050442.14,ENSMUST00000109125.7,ENSMUST00000109126.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000005886.14	Ncoa2	chr1	13139105	13374083	.	-	.	protein_coding	ENSMUST00000006037.12,ENSMUST00000068304.12,ENSMUST00000081713.10	418	665	357	212	256	377	5.26	8.95	4.18	3.69	3.98	5.92	10.86	17.83	9.5	5.19	5.9	7.84
ENSMUSG00000005891.7	Prl4a1	chr13	28016212	28023559	.	+	.	protein_coding	ENSMUST00000021779.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000005892.4	Trh	chr6	92242061	92244650	.	-	.	protein_coding	ENSMUST00000006046.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000005893.14	Nr2c2	chr6	92091390	92174294	.	+	.	protein_coding	ENSMUST00000113460.7,ENSMUST00000113463.7	411	609	340	215	313	348	5.8	9.14	4.21	4.01	5.87	6.67	11.99	18.22	9.57	5.64	8.7	8.83
ENSMUSG00000005897.14	Nr2c1	chr10	94148023	94197211	.	+	.	protein_coding	ENSMUST00000092213.10,ENSMUST00000099343.1,ENSMUST00000105290.8	86	62	42	49	44	49	2.43	1.79	0.93	2.22	1.47	1.49	5.01	3.58	2.12	3.12	2.18	1.97
ENSMUSG00000005899.14	Smpd4	chr16	17619354	17644828	.	+	.	protein_coding	ENSMUST00000006053.12,ENSMUST00000090159.12,ENSMUST00000163476.9,ENSMUST00000165363.9,ENSMUST00000231436.1,ENSMUST00000231792.1,ENSMUST00000232021.1,ENSMUST00000232271.1	105	101	86	76	103	133	2.43	2.62	1.82	2.77	3.33	3.63	5.02	5.23	4.13	3.89	4.94	4.81
ENSMUSG00000005907.14	Pex1	chr5	3596066	3637232	.	+	.	protein_coding	ENSMUST00000006061.12,ENSMUST00000121291.7,ENSMUST00000195894.1	50	49	98	65	66	53	0.86	0.85	1.47	1.6	1.44	1.17	1.78	1.69	3.33	2.25	2.13	1.55
ENSMUSG00000005917.15	Otx1	chr11	21994764	22002897	.	-	.	protein_coding	ENSMUST00000006071.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000005936.19	Kctd20	chr17	28951950	28969549	.	+	.	protein_coding	ENSMUST00000057174.15,ENSMUST00000117672.8,ENSMUST00000118762.8,ENSMUST00000150858.1,ENSMUST00000168507.1,ENSMUST00000232772.1,ENSMUST00000232874.1,ENSMUST00000233197.1,ENSMUST00000233334.1	304	429	247	241	271	233	7.64	9.52	5.9	10.3	8.48	7.24	15.8	18.97	13.4	14.48	12.57	9.59
ENSMUSG00000005947.11	Itgae	chr11	73090583	73147446	.	+	.	protein_coding	ENSMUST00000006101.3	0	9	22	4	0	1	0	0.18	0.39	0.12	0	0.03	0	0.36	0.89	0.17	0	0.03
ENSMUSG00000005949.9	Ctns	chr11	73183596	73199042	.	-	.	protein_coding	ENSMUST00000006103.8,ENSMUST00000108476.7	59	114	40	66	62	39	1.83	3.53	1.08	2.9	2.44	1.56	3.79	7.04	2.46	4.07	3.62	2.07
ENSMUSG00000005950.14	P2rx5	chr11	73160421	73172685	.	+	.	protein_coding	ENSMUST00000006104.9	68	51	80	184	204	212	2.33	1.71	2.37	9	8.76	9.16	4.82	3.4	5.38	12.64	12.99	12.12
ENSMUSG00000005951.13	Shpk	chr11	73199460	73224511	.	+	.	protein_coding	ENSMUST00000006105.6	50	47	11	9	13	7	1.44	1.32	0.27	0.37	0.47	0.25	2.98	2.64	0.62	0.52	0.7	0.34
ENSMUSG00000005952.15	Trpv1	chr11	73234292	73261242	.	+	.	protein_coding	ENSMUST00000006106.13,ENSMUST00000102526.8,ENSMUST00000108470.7	6	19	2	3	3	16	0.14	0.48	0.05	0.15	0.13	0.57	0.29	0.96	0.12	0.21	0.2	0.76
ENSMUSG00000005958.15	Ephb3	chr16	21204755	21223305	.	+	.	protein_coding	ENSMUST00000006112.6,ENSMUST00000161063.8	89	321	130	65	77	58	1.64	5.85	2.11	1.71	1.78	1.38	3.39	11.67	4.8	2.4	2.63	1.83
ENSMUSG00000005968.14	Tuft1	chr3	94612757	94658872	.	-	.	protein_coding	ENSMUST00000006123.10,ENSMUST00000196655.4,ENSMUST00000196733.4	25	173	36	15	10	2	0.86	5.32	0.96	0.71	0.45	0.1	1.79	10.61	2.18	1	0.67	0.13
ENSMUSG00000005973.6	Rcn1	chr2	105386291	105399319	.	-	.	protein_coding	ENSMUST00000006128.6	211	312	118	109	144	131	6.29	9.09	3.04	4.64	5.39	4.93	13.01	18.12	6.91	6.52	7.99	6.52
